Adsorbent,Isotherm model_CO2,Isotherm model_CH4,qm_CO2,b_CO2,qm_CH4,b_CH4,Re_par_CO2,Re_par_CH4
Cu-btc,NaN,NaN,12.95,0.1948,9.98,0.0472,NaN,NaN
zeolite 13X,NaN,NaN,3.75E-03,434140.721,1.42E-02,31.15076111,NaN,NaN
CMS-3K,NaN,NaN,2.47E-03,2247521.379,2.13E-03,86540.96677,NaN,NaN
MOF-508b,NaN,NaN,1.11E-02,131.6962791,5.25E-03,0.467164861,NaN,NaN
CMS-3K,a-langmuir,a-langmuir,0,0,0,0,"[1.079E-06, 2208, 0.916, -130.9]","[1.217E-05, 1839, 0.1454, 777.9]"
STT,DualsiteLang,NaN,0,0,5.00E+00,5.51E+14,"[4.7029, 0.2971, 2.7085E+15, 1.75809E+16]",NaN
MOF UMCM-1,Freu,Freu,0,0,0,0,"[1.0392, 0.997009]","[0.4439, 0.957854406]"
Pine sawdust activated carbon,LangFreu,LangFreu,0,0,0,0,"[6.107, 6.312E-04, 0.7315, 2.108E+03, 8.507E-04, 1.982E+03]","[5.864, 6.03E-04, 7.831E-01, 1.864E+03, 7.688E-04, 1.847E+03]"
UTSA-16 ,DualsiteLang,DualsiteLang,0,0,0,0,"[4.079, 1.289, 1.734E-11, 1.247E-13]","[2.148, 0.772, 2.772E-09, 4.163E-04]"
BPL AC,DualsiteLang,DualsiteLang,0,0,0,0,"[4.25, 0, 3.515E-09, 0]","[2.731, 0, 8.514E-08, 0]"
CS-CO2,Toth,Toth,0,0,0,0,"[18.07, 0.59, 0.39]","[8.9, 0.16, 0.54]"
CS-H2O,Sips,Sips,0,0,0,0,"[9.9, 0.1, 1.4]","[5.96, 0.09,1.24]"
Na-ZSM-5,DualsiteLang,NaN,0,0,2,5.53E-02,"[2.78, 0.04, 5.03E-01, 2.47E+01]",NaN
MAC,Toth,Toth,0,0,0,0,"[6.61, 0.392E-03, 0.735]","[1.67, 0.615E-03, 0.983]"
